,,Message/Text,Real/Fake,Sentiment
,,"Hi everyone, as we are all under this 21 day lockdown for coronavirus, there are millions of daily wage workers who are suffering without any food resources. The Bhaskar Group has started a donation drive and has pledged to distribute one week worth of food supplies to 1 lakh families in 40 cities across India. We have partnered with local NGOs to help us with the distribution. We are fortunate enough that we can share our resources with them. The company and its employees have donated 1 crore rupees to kick off this initiative. Each one of us can make a big difference through our contribution. Please donate whatever amount you can to support these families. You can make the payment through the following methods:

1. UPI Transfer through any UPI app (Google pay, Paytm, PhonePe, BHIM etc) UPI ID - Q47105727@ybl


2. Bank Transfer (RTGS / NEFT)  HDFC Bank Name - Bhaskar Foundation Account No. - 01441450000456 IFSC Code - HDFC0000144

All donors are eligible to receive tax benefit under Section 80G. Company contributions can be claimed under CSR expenses. 

For more details, please visit www.dbdigital.in/donate",Real,Opinion
,,"*Better safe than Sorry.*
For your safety ,we have developed coronavirus self assessment scan as per the guidelines by WHO and MHFW ,Government of India.This self scan is entirely for your safety and should not be considered as expert medical advice. Your shared information will always be confidential with us.

Let's start now.....
https://bansalhospital.com/covid/",Fake,Fact based
,,New study by China proves that house flies (makhi) can transmit Corona Virus. This information has been recently confirmed by Goverment of India. Amitabh Bachchan appointed to spread this important message,Fake,Controversial
,,"Thank you for your whatsapp message. Watch ""Science Has An Answer To Corona Scare"" By Dr Biswaroop Roy Chowdhury.

 https://youtu.be/NQceiTmYl5A

Regards: Dr. Biswaroop Roy Chowdhury",Fake,Opinion
,,"#Corona19Alert. 
_____________________

Patient aged 62 yrs male, residing at Parvat Patiya Surat, working at radha krishna textile (RKT) market salabatpura tested positive for COVID 19. So all persons working at  radha krishna textile (RKT) and persons visited RKT  in last 15 days must be at home quarantine without fail.",Real,Opinion
,,"COVID-19 Breaking: Heir to the British Throne, Prince Charles tests positive for coronavirus
http://dhunt.in/91pSm?s=a&ss=wsp
Source : ""India TV"" via Dailyhunt

Download Now
http://dhunt.in/DWND",Fake,Opinion
,,"Finally India got its Corona Dashboard

No more spreading Rumors. This is the official website for CORONA updates.   Updating every 4 hrs..  
Keep This link  for getting official Govt of India updates about CORONA virus situation in India.. 
No more relying on rumours!

 www.covid19india.org",Real,Fact based
,,"*WELL PLAYED CHINA....* 

*SCENE 1 :*
The curtain opens: China becomes ill, enters a ""crisis"" and paralyzes its trade.  The curtain closes.

*SCENE II.*  
The curtain opens: The Chinese currency is devalued.  They do not do anything.  The curtain closes.

*SCENE III.*  
The curtain opens:: Due to the lack of trade of companies from Europe and the USA that are based in China, their shares fall 40% of their value.

*SCENE IV.*  
The curtain opens:: The world is ill, China buys 30% of the shares of companies in Europe and the US at a very low price.  The curtain closes.

*SCENE V.* 
The curtain opens: China has controlled the disease and owns companies in Europe and the US.  And he decides that these companies stay in China and earn $ 20,000Billions.  The curtain closes.  How is the play called?

 *SCENE  VI:* 
 *Checkmate!*

 *ReAmazing but true* 

Two videos have passed between yesterday and today that convinced me of something I suspected, but had no basis.  It was just my speculation.  Now I am convinced that the coronavirus was purposely propagated by the Chinese themselves.

 At first they were too prepared.  Three weeks after the start of the roll, 14 days and a 12,000-bed hospitals were already under construction.  And they really built them in two weeks.  

Awesome.

Yesterday they announced that they had stopped the epidemic.  They appear in videos celebrating, they announce that they even have a vaccine.  How could they create it so quickly without having all the genetic information?  Well if you are the owner of the formula it is not difficult at all.
 And today I just saw a video that explains how Den Xiao Ping gave the west a half stick.  Due to the coronavirus, the actions of Western companies in China fell dramatically.  China I just hope, when they went down enough they bought them.  Now the companies, Created by the USA and Europe in China with all the technology put in by these exchanges and their capital they passed into the hands of China, which is now rising with all that technological potential and will be able to set prices at will to sell everything they need to the West.  How are you?

 None of this could have happened by chance.  China who cared that a few old men died?  Fewer old-age pensions to pay, but the loot has been huge.  And right now the West is financially defeated, in crisis and stunned by the disease.  And without knowing what to do.

Masterfully diabolic.  It had to be the communists.  |

Adding to this, they are now the single largest owners of US treasury with 1.18 trillion holding surpassing Japan. 
An instrument that has seen the most rally

One ☝ prospective & Analogy
-------_--------------_-------////-//////
 How come Russia & North Korea have Low or Zero incidence of Covid- 19 ? 

Is it because they are staunch allies of China

On the other hand USA / South Korea / United Kingdom / France / Italy / Spain and Asia are severely hit

How come Wuhan is suddenly free from the deadly virus? 

China says that the drastic initial measures that they took were very stern and Wuhan was locked down to contain the spread to other areas

Why Beijing was not hit ? Why only Wuhan? 

It is interesting to ponder upon.. right ? 

Well ..Wuhan is open for business now

Covid - 19 needs to be seen in the backdrop of the arm twisting of China by USA in the trade war

America and all the above mentioned countries are devastated financially 

Soon American economy will collapse as planned by China. 

China knows it CANNOT defeat America militarily as USA is at present THE MOST POWERFUL country in the world. 

So use the virus...to cripple the economy and paralyse the nation and its Defense capabilities. 

I am sure Nancy Pelosi got a part in this.... to topple Trump.... 

Lately President Trump  has always been telling of how the GREAT American economy was improving on all fronts and jobs were coming back to the USA

The only way to destroy his vision of making AMERICA GREAT AGAIN is to create an ECONOMIC HAVOC. 

Nancy Pelosi was unable to bring down Trump through impeachment.....so work along with China to destroy Trump by releasing a virus.

Wuhan's epidemic was a showcase. 

At the peak of the virus epidemic....China's President Xi Jinping...just wore a simple RM1 facemask to visit those effected areas. 

As President he should have been covered from head to toe.....but that was not the case.

He was already injected to resist any harm from the virus....that means a cure was already in place before the virus was released

China's vision is to control the World ECONOMY by buying up stocks now from countries facing the brink of severe ECONOMIC COLLAPSE.....Later China will announce that their Medical Researchers have found a cure to destroy the virus

Now China shall OWN  the stocks of All Western Alliances and these countries will soon be slave to their NEW MASTER..... CHINA",Fake,Opinion
,,"BREAKING NEWS! covid -19 is confirmed as airborne and remain 8 hrs in air! So everyone is required to wear mask everywhere!! BREAKING NEWS:
Coronavirus - confirmed to be airborne!!!
Copper, Steel - 2 hours
Paper, Plastic - 3-4 hours
Air - 8 hours or more depending on conditions.
https://www.cnbc.com/2020/03/16/who-considers-airborne-precautions-for-medical-staff-after-study-shows-coronavirus-can-survive-in-air.html

WHO reversed their earlier position that Covid virus is not air borne. Pls avoid all public places with aircon especially small or confined ones",Fake,Opinion
,,"[3/23, 8:51 AM] Ravin: 👇 This could be helpful
[3/23, 8:51 AM] Ravin: “What I have seen are a lot of recommendations for how to try to avoid getting coronavirus.... good hand washing, personal hygiene and social distancing. But ...what I have NOT seen is advice for what happens if you do actually get it, which many of us will. 
So as your friendly neighborhood Nurse let me make some suggestions:

Basically you just want to prepare as though you know you’re going to get a nasty respiratory bug, like bronchitis or pneumonia. 

Things you should actually buy ahead of time (not sure what the obsession with toilet paper is?):
Augmentin Duo 625 mg
Paracetamol/ Dolo 650
A mucus thinning cough medicine of your choice. (Honey and lemon can work just as well)
Vit. C and zinc lozenges.
Vicks vaporub for a chest rub

If you don’t have a humidifier, buy one now and use in your room when you go to bed at night. 
You can also just turn the shower on hot and sit in the bathroom breathing in the steam during the day. 

If you have a history of asthma and use a prescription inhaler, make sure the one you have isn’t expired and refill it or get a new one if necessary.

This is also a good time to meal prep: Make a big batch of your favorite soup to freeze and have on hand. 
Chicken soup is the best! 

For symptom management and a fever over 98.4 •F, take Paracetamol. NEVER IBUPROFEN.

Hydrate, hydrate, hydrate! Drink hot water and clear non sugary drinks. 

Rest a lot. You should not be leaving your house!  Even if you are feeling better you may will still be infectious for fourteen days and older people and those with existing health conditions should be avoided!

YOU DO NOT NEED TO GO TO THE HOSPITAL unless you are having severe trouble breathing or your fever is very high (over 102•F ) and remains unmanaged with meds. 
90% of healthy adult cases thus far have been managed at home with basic rest and hydration and over-the-counter meds.

If you are worried or in distress or feel your symptoms are getting worse, phone your doctor. 
If you have a pre-existing lung condition like COPD, emphysema, asthma, lung cancer or are on immunosuppressants, talk to your Doctor about what they would like you to do, if you get sick. 

Be calm. 
Prepare rationally.
Everything will be fine.  

Share this as it's great advice!
It's not mine, but is sensible advice from a Reg. nurse so am sharing.",Real,Controversial
,,"*Msg from Sadhguru 👇. Let’s try to do for a day and then see the difference* 

*“Whatever we are talking about is what we are perpetuating in our experience. The only way to keep any kind of illness or virus or flu away is to not talk about it and it will dissipate itself. What we do instead is keep checking the statistics or keep spreading the ""awareness"" messages on social media without noticing it that the more we talk about it the more it becomes active in our vibration. History is full of evidence of epidemics because of the mass consciousness created by fear of the disease. Fear is a very strong vibration and more fearful we are of any epidemic it becomes a reality very fast.. it's the law. The more you feed the energy of fear the more profound it becomes. Ignore the things you don't want to participate in. Stop discussing it with family and friends; stop checking out the latest statistics. Stop watching incessantly the news about Corona Virus. Take your attention away and It has no power on you. The creation of anything is to give thought to it by keeping it active in our vibration by being afraid of it. Hook yourself up with  ever flowing stream of well- being”.*

*Love and light to all.*
*Sadhguru*",Real,Controversial
,,"COVID-19 

मुख्यमंत्री उद्धव ठाकरे ने पूरे महाराष्ट्र में कर्फ्यू का ऐलान किया ।",Fake,Fact based
,,"पत्ता गोभी 

हो सके तो मत खाना

ठीक सुना आपने । WHO की रिपोर्ट के अनुसार पत्ता गोभी की परत में Corona Virus सबसे ज़्यादा समय ठहर रहा है ।

जहाँ बाक़ी जगह यह virus 9-12 घंटे ठहर रहा है वहीं पत्ता गोभी में यह virus 30 घंटे से अधिक ठहर रहा है ।

सभी शहर के लोगों से निवेदन है की पत्ता गोभी से दूरी बनाए 

जनहित में जारी
राजस्थान सरकार",Fake,Fact based
,,"#अत्यंत आवश्यक मैसेज#

जैसा कि सब लोग CORONA से बचने के लिए MASK का उपयोग कर रहे हैं (बहुत अछि बात है ) परंतु आप सभी से अनुरोध है कृपया इन काम मे लिए गए MASKS को जलाकर या दफना के इसको Dispose करें अन्यथा इस से होने वाली त्रासदी इतनी भयंकर होने वाली है जिसका अंदाज नही लगा सकते क्योंकि यह काम में लिए हुए MASK यदि किसी पशु या जानवर ने गलती से खा लिया और यह बीमारी यदि पशुओ में या जानवरों में फैल गयी तो फिर किसी भी देश की सरकार या medical team इसकी भयानक महामारी को रोक नही सकेंगे

अतः कृपया अपने मास्क को उपयोग के बाद जला दें या मिट्टी में दबा के खत्म कर देवें",Fake,Fact based
,,"Finally India got its Corona Dashboard

No more spreading Rumors. This is the official website for CORONA updates.   Updating every 4 hrs..  
Keep This link  for getting official Govt of India updates about CORONA virus situation in India.. 
No more relying on rumours!

 www.mohfw.gov.in",Real,Controversial
,,"Braking News France Announce 100 Percent Cure For Coronavirus 
Using hydroxychloroquine 
And Azithromycin 
https://techstartups.com/2020/03/18/breaking-controlled-clinical-study-conducted-doctors-%E2%80%8Bin-france-shows-hydroxychloroquine-cures-100-coronavirus-patients-within-6-days-treatment-covidtrial-io/",Fake,Fact based
,,"चलो मैं बताता हूं..हमारे आदरणीय पीएम ने क्या कहा और क्यूं कहा ...

22 Mar '
7 बजे सुबह से रात 9 बजे 
""जनता कर्फ्यू"" का मतलब ""CORONA VIRUS""  को  आगे बढ़ने से रोकना (और हमें इसमें सहबागी होकर इस मुहिम को अंजाम देना )
मतलब,
""LOCKDOWN FOR CORONA VIRUS""
not for us !!

 

अब जरा आगे समझे ..

जब वायरस को आगे बढ़ने का मौका नहीं मिलेगा तो उसकी ""LIFE CYCLE""  का खात्मा निश्चित है,
परन्तु इसका पूरा अध्याय समाप्त करना हमारे ही हाथ में है  
कैसे ?
 जरा जाने..
शाम 5 बजे जब 130 करोड़ नागरिक एक साथ 
5 मिनट के लिए 
""तालियां  ढोल नगाड़े ,थाली कटोरा,घंटी या एक ऐसी ""SOUND FREQUENCY "" पैदा होगी जिसे ""CORONA VIRUS""  की मौत होना निश्चित है ।
यह विज्ञान  भी मानता है,
और हमारे शास्त्रों में इसका उल्लेख भी है ।
इस virus को मारने का यही एकमात्र इलाज भी है ।

हम भारतीय  पूरे विश्व के लिए  एक मिसाल कायम करेंगे ।

बस ,
अब हम भारतीयों को अपने परिवार,अपने रिश्तेदार, अपने बच्चों, अपने करीबी दोस्तों , अपने समाज को बचाने के लिए अपना कर्तव्य, अपना फ़र्ज़ निभाना होगा । और शाम 5 बजे किसी भी हाल में ""sound frequency"" को पैदा करना ही एकमात्र विकल्प है ।
आज हमें एक भारतीय जवान की तरह अपनी लड़ाई ""corona virus"" 
से करने का मौका मिला है , आइए, साथ मिलकर इस पर जीत हासिल करें 
और 
गर्व से कहें 
जय जवान 
जय भारत 
जय हिन्द!!",Real,Opinion
,,"If you can hold your breath for 10 seconds, without coughing or difficulty in breathing it indicates the absence of COVID-19 infection.",Fake,Fact based
,,"You can beat the virus with warm water, salt or vinegar. This viral message claims that coronavirus before it reaches lungs remains in throat for four days and it is this time that the person begins to cough or have throat pain.",Fake,Opinion
,,PM Narendra Modi announces financial emergency corresponding to the covid 19 pandemic.,Fake,Opinion
,,"China’s whistleblower doctor proposed a cure in his case file before his unfortunate demise. While crediting CNN, an elaborate WhatsApp forward that went viral claimed Dr. Li Wenliang proposed that chemical *Methylxanthine",Fake,Fact based
,,"Groceries, chemist and vegetable shops will remain open only during specific hours as India observes complete lockdown. The message that went viral soon after states declared complete lockdown in the country said that essential item shops such as chemist, medicines, grocery, etc., will be open only during 9:00-11:30 am and 4:30-7:00 pm. Anyone opening or moving except these timings will be detained by the police.",Fake,Controversial
,,"Rasam, a soup-like concoction of herbs, tamarind juice and lentils is the best way to cure coronavirus. The forwarded message highlighted how years ago when Malaysia was hit by the Nipah virus, Malaysian Indians were not affected as they consumed rasam. The message further said that for better effects it should be consumed with rice.",Fake,Fact based
,,"Everyone should stock up essentials such as milk, ration, medicines, and cash as India is soon going to declare national emergency. The viral message was attributed to Dr. Naresh Trehan, chairman, and MD of Medanta Hospital.",Fake,Controversial
,,If you can hold your breath for 1 minute without coughing it indicates absence of covid 19,Fake,Opinion
,,Breathing in hot air from sauna or hairdryer can kill the novel coronavirus. The video doing rounds on WhatsApp claims that how COVID-19 virus hates heat and it dies if it is exposed to high temperature.,Fake,Fact based
,,NASA satellite videos have shown that the coronavirus is retreating in India. The message credits hundreds and thousands of Indians who followed the Prime Minister’s message and clapped during Janta Curfew at 5 pm. The baseless WhatsApp forward further read that the cosmic level sound waves have been detected by NASA’s SD-13 wave detector and that it has shown COVID-19 strain diminishing and weakening in India.,Fake,Opinion
,,Mixing salt with warm water can cure covid 19,Fake,Opinion
,,"COVID-19 virus will be killed at a temperature of 30-35 degrees. Therefore, drink more hot water, go under the sun for a long time. “Drinking warm water is effective for mostly all viruses. Try not to drink ice. Remember that,” the message said.",Fake,Opinion
,,"Avoid eating meat until coronavirus exists. The forwarded message further reads that coronavirus passes from animals to humans, thus, China is burning pigs to avoid this transmission.",Fake,Fact based
,,"Everyone should ensure their mouth and throat are moist, never dry. The advice attributed to Japanese doctors treating COVID-19 cases further reads that take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the viruses.",Fake,Fact based
,,As India observes complete lockdown chemist and grocery shop to remain open for specific hours only,Fake,Opinion
,,"Slices of lemon in a cup of lukewarm water can save your life. The WhatsApp forward is credited to Professor Chen Horin, CEO of the Beijing Military Hospital.",Fake,Fact based
,,"Ginger is the miracle cure for coronavirus. A viral message doing rounds on WhatsApp claims that as long as the body maintains heat, eat more ginger and do more exercise, you will not be infected with the virus. If you have a high fever, cover the quilt and drink ginger soup to increase the body’s heat energy without the need for a vaccine. Eating more ginger, garlic pepper can solve it. Also, the misleading message advises to eat less sweet, sour, and salty foods and to avoid going to cold weather areas.",Fake,Fact based
,,Lentils and tarmarind juice best way to cure coronavirus,Fake,Opinion
,,Constantly having sex can help you cure coronavirus.,Fake,Opinion
,,Stocking up essentials can help you as India is going to declare a national emergency.,Fake,Opinion
,,Breathing in hot air can cure coronavirus.,Fake,Opinion
,,Covid 19 is retreating in India due to clapping of hands during Janta Curfew.,Fake,Opinion
,,AI can help in detecting covid 19,Real,Opinion
,,Ayurveda claims that it has found covid 19 cure.,Fake,Controversial
,,Places with higher temperature like 35-50 degrees are safe because high temperature can kill coronavirus. ,Fake,Opinion
,,Using betadine sore throat gargle can kill the coronavirus if it is present in your throat.,Fake,Opinion
,,"00:05 GMT – Brazil reports 814 new coronavirus deaths, more than 33,500 cases
Brazil’s health ministry has reported 814 new coronavirus-related deaths and 33,523 additional cases, bringing the death toll to 131,210 and the infection count to 4,315,687.

Brazil has the third-highest number of cases worldwide and the second-highest number of fatalities.",Real,Fact based
,,"Cold weather and snow kill the new coronavirus
There is no reason to believe that cold weather can kill the new coronavirus or other diseases. The normal human body temperature remains around 36.5°C to 37°C, regardless of the external temperature or weather. The most effective way to protect yourself against the new coronavirus is by frequently cleaning your hands with alcohol-based hand rub or washing them with soap and water.",Fake,Opinion
,,"Taking a hot bath prevent the new coronavirus disease
Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5°C to 37°C, regardless of the temperature of your bath or shower. Actually, taking a hot bath with extremely hot water can be harmful, as it can burn you. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that coud occur by then touching your eyes, mouth, and nose.",Fake,Opinion
,,"The new coronavirus can be transmitted through goods manufactured in China or any country reporting COVID-19 cases.
Even though the new coronavirus can stay on surfaces for a few hours or up to several days (depending on the type of surface), it is very unlikely that the virus will persist on a surface after being moved, travelled, and exposed to different conditions and temperatures. If you think a surface may be contaminated, use a disinfectant to clean it. After touching it, clean your hands with an alcohol-based hand rub or wash them with soap and water.",Fake,Opinion
,,"The new coronavirus can be transmitted through mosquito bites
To date there has been no information nor evidence to suggest that the new coronavirus could be transmitted by mosquitoes. The new coronavirus is a respiratory virus which spreads primarily through droplets generated when an infected person coughs or sneezes, or through droplets of saliva or discharge from the nose. To protect yourself, clean your hands frequently with an alcohol-based hand rub or wash them with soap and water. Also, avoid close contact with anyone who is coughing and sneezing.",Fake,Opinion
,,"Hand dryers effective in killing the new coronavirus
Hand dryers are not effective in killing the 2019-nCoV. To protect yourself against the new coronavirus, you should frequently clean your hands with an alcohol-based hand rub or wash them with soap and water. Once your hands are cleaned, you should dry them thoroughly by using paper towels or a warm air dryer.",Fake,Opinion
,,"Can an ultraviolet disinfection lamp kill the new coronavirus?
UV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation.",Fake,Opinion
,,"How effective are thermal scanners in detecting people infected with the new coronavirus?
Thermal scanners are effective in detecting people who have developed a fever (i.e. have a higher than normal body temperature) because of infection with the new coronavirus. However, they cannot detect people who are infected but are not yet sick with fever. This is because it takes between 2 and 10 days before people who are infected become sick and develop a fever.",Fake,Opinion
,,"Can spraying alcohol or chlorine all over your body kill the new coronavirus?
No. Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body. Spraying such substances can be harmful to clothes or mucous membranes (i.e. eyes, mouth). Be aware that both alcohol and chlorine can be useful to disinfect surfaces, but they need to be used under appropriate recommendations.",Fake,Opinion
,,"Can pets at home spread the new coronavirus (2019-nCoV)?
At present, there is no evidence that companion animals/pets such as dogs or cats can be infected with the new coronavirus. However, it is always a good idea to wash your hands with soap and water after contact with pets. This protects you against various common bacteria such as E.coli and Salmonella that can pass between pets and humans.",Fake,Opinion
,,"Do vaccines against pneumonia protect you against the new coronavirus?
No. Vaccines against pneumonia, such as pneumococcal vaccine and Haemophilus influenza type B (Hib) vaccine, do not provide protection against the new coronavirus. The virus is so new and different that it needs its own vaccine. Researchers are trying to develop a vaccine against 2019-nCoV, and WHO is supporting their efforts. Although these vaccines are not effective against 2019-nCoV, vaccination against respiratory illnesses is highly recommended to protect your health.",Fake,Opinion
,,"Can regularly rinsing your nose with saline help prevent infection with the new coronavirus?
No. There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus. There is some limited evidence that regularly rinsing nose with saline can help people recover more quickly from the common cold. However, regularly rinsing the nose has not been shown to prevent respiratory infections.",Fake,Opinion
,,"Can eating garlic help prevent infection with the new coronavirus?
Garlic is a healthy food that may have some antimicrobial properties. However, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.",Fake,Opinion
,,"Does the new coronavirus affect older people, or are younger people also susceptible?
People of all ages can be infected by the new coronavirus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus. WHO advises people of all ages to take steps to protect themselves from the virus, for example by following good hand hygiene and good respiratory hygiene.",Fake,Opinion
,,"Are antibiotics effective in preventing and treating the new coronavirus?
No, antibiotics do not work against viruses, only bacteria. The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment. However, if you are hospitalized for the 2019-nCoV, you may receive antibiotics because bacterial co-infection is possible.",Fake,Opinion
,,"Are there any specific medicines to prevent or treat the new coronavirus?
To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV). However, those infected with the virus should receive appropriate care to relieve and treat symptoms, and those with severe illness should receive optimized supportive care. Some specific treatments are under investigation, and will be tested through clinical trials. WHO is helping to accelerate research and development efforts with a range or partners.",Fake,Opinion
,,"Are there any specific medicines to prevent or treat the new coronavirus?
To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV). However, those infected with the virus should receive appropriate care to relieve and treat symptoms, and those with severe illness should receive optimized supportive care. Some specific treatments are under investigation, and will be tested through clinical trials. WHO is helping to accelerate research and development efforts with a range or partners.",Fake,Opinion
,,Rapid antibody tests on blood are a good alternative to diagnose COVID-19.,Fake,Opinion
,,"The rapid tests on blood that are widely available and often misused are antibody tests. These cannot be used for diagnosis of an active COVID-19 infection. These rapid blood tests look for antibodies the body may have developed while fighting COVID-19.

A positive test most likely means that the individual has already had the infection in past and has recovered from the virus. The test remains positive for a very long time even after full recovery. Similarly, if someone is sick and COVID-19 is suspected, the antibody test may still be negative.

The tests that may diagnose the infection more accurately are tests done on the throat swab.",Real,Fact based
,,"If I test negative, I do not have the coronavirus infection.",Fake,Opinion
,,"Mostly, the COVID-19 tests do not provide results with 100 per cent accuracy. In fact, if 100 COVID-19 patients are tested using the ‘viral’ tests, about 30 of them may test falsely negative. So if you have been exposed to the virus or have symptoms and have still tested negative, you must still take all precautions so as to not spread the infection to the others.",Real,Fact based
,,Testing on the first day after a suspected exposure to COVID is important.,Fake,Opinion
,,"After an exposure, it most commonly takes an average of 4-7 days for the test to become covid positive. Testing on the first day can often miss the infection and the test should be carried out around day 5 post-exposure.",Real,Fact based
,,"If I test positive for IgG (Immunoglobulin G) antibodies, I am now immune to COVID-19.",Fake,Opinion
,,"A positive Immunoglobulin G (IgG) antibody test only means you have already had COVID-19 infection and have recovered from it even if the infection was asymptomatic. There is not enough scientific research to know if these antibodies offer long term immunity to protect you from getting COVID again. In fact, there have already been a few cases of reinfection reported. So, even if you test positive for these antibodies, continue following all the precautions as if you could get the infection again.",Real,Fact based
,,Kids do not transmit the coronavirus and therefore do not need to get tested.,Fake,Opinion
,,"While kids are less likely to show symptoms of COVID-19 even after getting the infection, a study has shown that they shed 10-1000 times more viral RNA (Ribonucleic acid) than adults. Also, it is very difficult to have kids follow masking, hand hygiene, cough etiquettes, and physical distancing. Therefore, kids may be more effective spreaders than adults. It is thus important to diagnose the infection in them so that all necessary precautions including isolation from other kids can be implemented.",Real,Fact based
,,COVID-19 antigen test is better than PCR (Polymerise Chain Reaction) testing.,Fake,Opinion
,,"Both of  COVID antigen and Polymerise Chain Reaction are viral tests done on the throat swab. The COVID antigen test can be used in areas where resources for Polymerise Chain Reaction are unavailable or when it is very urgent. The pros of these tests are the rapidity, lower cost and its specificity. Therefore, if it tests somebody positive with COVID-19, no PCR confirmation IS needed. The cons are that it gives many false-negative results. So those who test negative should ideally be then tested with the RT-PCR (Real Time Polymerise Chain Reaction).",Real,Fact based
,,"Both of  COVID antigen and Polymerise Chain Reaction are viral tests done on the throat swab. The COVID antigen test can be used in areas where resources for Polymerise Chain Reaction are unavailable or when it is very urgent. The pros of these tests are the rapidity, lower cost and its specificity. Therefore, if it tests somebody positive with COVID-19, no PCR confirmation IS needed. The cons are that it gives many false-negative results. So those who test negative should ideally be then tested with the RT-PCR (Real Time Polymerise Chain Reaction).",Real,Fact based
,,"Disinfectant injected into people infected with the new coronavirus could help clear Covid-19, the disease it causes.",Fake,Opinion
,,Drinking or injecting bleach or other disinfectants is extremely dangerous and could result in death and does not treat coronavirus.,Real,Fact based
,,Ultraviolet light inserted into the body could help kill the coronavirus and speed recovery.,Fake,Opinion
,,"While UV light is known to kill viruses contained in droplets in the air, doctors say there is no way it could be introduced into the human body to target cells infected with Covid-19.",Real,Fact based
,,Antibiotics can prevent and treat the new coronavirus.,Fake,Opinion
,,"Antibiotics do not work against viruses, only bacteria. They will not prevent or treat infection with the new coronavirus.
There are currently no specific proven medicines for Covid-19 infection, but those infected can relieve and treat mild symptoms with over-the-counter fever-reducing medicines such as acetaminophen, also known as paracetamol, and aspirin.",Real,Fact based
,,The new coronavirus can be spread by mosquito bites and in Chinese food.,Fake,Opinion
,,"The new coronavirus is a respiratory virus that spreads primarily via droplets when an infected person coughs, sneezes or breathes out, or through droplets of saliva or discharge from the nose.",Real,Fact based
,,"There is no evidence that regularly rinsing the nose with saline has protected people. There is some weak evidence that the practice can help some people recover more quickly from the common cold, but it does not prevent respiratory infections.",Real,Fact based
,,"Some social media posts suggest that spraying alcohol or chlorine all over your body can protect against Covid-19 infection, or that gargling bleach or drinking excessive amounts of water can somehow ""flush it out.""",Fake,Opinion
,,Good hygiene practices including frequent hand washing and avoiding close social contact can help reduce the risk of coronavirus infection.,Real,Fact based
,,Hand dryers are effective in killing the new coronavirus.,Fake,Opinion
,,"Hand dryers are not effective against Covid-19, but frequently cleaning your hands with an alcohol-based hand rub, or washing them with soap and water, is. Clean hands should be dried thoroughly with a clean towel or air dryer.",Real,Fact based
,,"Cold weather, hot weather, snow, eating garlic or taking a hot bath have also been suggested as ways people can prevent themselves from becoming covid infected.",Fake,Opinion
,,"No evidence as yet to suggest that Covid-19 will be affected by weather or the seasons.
The best way to protect yourself is by washing your hands frequently and avoiding contact with anyone who might be infected. This way, you can eliminate viruses that may be on your hands and avoid infection that might occur by touching your eyes, mouth and nose.",Real,Fact based
,,"Coronavirus is spreading through meat eaters, please avoid eating meat during the pandemic to stop it.",Fake,Opinion
,,Drinking water every 15 minutes will help in washing the virus down your throat and therefore killing it.,Fake,Opinion
,,Squeeze four slices of lemon in lukewarm water to kill coronavirus.,Fake,Opinion
,,Ginger can cure coronavirus. Be sure to consume a heavy amount of it while this pandemic goes on.,Fake,Opinion
,,Children below the age of 10 cannot be affected by coronavirus.,Fake,Opinion
,,"Railways starts converting train coaches into isolation wards in Guwahati

The Indian Railways is converting train coaches into isolation wards to prepare for a fight against coronavirus to meet the increasing demand for beds.

As part of this initiative, the Northeast Frontier Railway (NFR) has started converting coaches into isolation wards at the Coach Maintenance Depot in Kamakhya and Guwahati after consulting medical professionals at its NF Railway Central Hospital, Maligaon. Non-AC sleeper coaches are being converted into isolation wards for patients.
",Real,Fact based
,,"Goa allows food delivery services to function during lockdown

The government of Goa on Sunday issued a notice, whereby, it authorised Swiggy, Zomato and other home delivery platforms to operate and deliver food, groceries and other essential items at doorsteps during the lockdown due to COVID-19.",Real,Fact based
,,"Yogi Adityanath reviews arrangement for migrants at Agra Expressway

Uttar Pradesh Chief Minister Yogi Adityanath on Sunday visited Agra Expressway to review the situation of the migrants, who were waiting for the bus amid lockdown in the country due to coronavirus pandemic.

He took stock of the status of the transport and food facility having been made for the people sitting there.",Real,Fact based
,,"35 MPs approve allocation of money from MPLADS fund to fight COVID-19

Following Lok Sabha Speaker Om Birla's appeal, nearly three dozen MPs have allocated ₹ 1 crore from their MPLADS fund to local authorities to tackle the coronavirus pandemic.

In a letter to all Lok Sabha members on Saturday, Mr Birla said the country is passing through a tough phase due to COVID-19 and ""as public representatives it is our duty to stand with the people"".",Real,Fact based
